"country_region","total_cases","incident_rate","fatality_ratio"
"Gambia","10170.0","420.8280505688834","3.4241089307168604"
"Yemen","10126.0","33.95028117779782","29.073634204275535"
"San Marino","8202.0","24167.599740703638","2.486963497793823"
"Eritrea","8011.0","225.8893246639505","0.9486955436275122"
"Niger","7405.0","30.590785105373588","3.778302542019725"
"Sierra Leone","7064.0","88.55476097798855","2.8842504743833017"
"Dominica","6814.0","9465.07202289175","0.690108445612882"
"Comoros","6515.0","749.1993399226077","4.097421203438396"
"Guinea-Bissau","6484.0","329.47187954459304","2.3255813953488373"
"Liberia","6278.0","124.12813234218001","4.938908965754603"
"Grenada","6181.0","5493.29446582355","3.4112229234180456"
"Liechtenstein","6131.0","16076.251409392451","2.12"
"Saint Vincent and the Grenadines","5850.0","5272.787907739732","1.3898421413864104"
"Chad","5703.0","34.719645407890084","4.857543204110229"
"Monaco","4985.0","12702.578738151054","1.3168395849960095"
"Antigua and Barbuda","4283.0","4373.621436157177","3.359375"
"Sao Tome and Principe","3897.0","1778.1448341630123","1.748400852878465"
"Saint Kitts and Nevis","2999.0","5638.065874567604","1.0130246020260492"
"Bhutan","2660.0","344.7328450050025","0.1297016861219196"
"Holy See","27.0","3337.453646477132","0.0"
"Solomon Islands","24.0","3.6761439700516814","0.0"
"Palau","10.0","44.4247001332741","0.0"
"Vanuatu","7.0","2.3916905835725024","25.0"
"Marshall Islands","4.0","6.8477907315152455","0.0"
"Samoa","3.0","1.5295977158007443","0.0"
"Kiribati","2.0","1.7005935071339897","0.0"
"Tonga","1.0","0.9461006461867414","0.0"
"Micronesia","1.0","0.8786188112287484","0.0"
